,carat,cut,color,clarity,depth,table,price,x,y,z
24591,1.2,Very Good,F,IF,62.3,60.0,12905,6.74,6.8,4.22
24610,1.3,Ideal,G,IF,61.3,56.0,12932,7.03,7.06,4.32
24615,1.39,Ideal,G,IF,60.6,55.0,12943,7.21,7.27,4.39
24648,1.5,Very Good,H,IF,63.0,59.0,12988,7.23,7.3,4.58
24689,1.05,Ideal,F,IF,61.7,56.0,13060,6.48,6.56,4.02
24720,1.03,Ideal,F,IF,62.3,57.0,13060,6.44,6.49,4.03
24721,1.39,Ideal,G,IF,60.6,55.0,13061,7.27,7.21,4.39
24733,1.51,Premium,H,IF,60.2,60.0,13075,7.41,7.44,4.47
24752,1.5,Premium,H,IF,63.0,59.0,13107,7.3,7.23,4.58
24798,1.24,Ideal,G,IF,62.0,55.0,13178,6.93,6.89,4.29
24806,1.51,Premium,H,IF,60.2,60.0,13194,7.44,7.41,4.47
24842,1.53,Good,H,IF,63.1,57.0,13248,7.25,7.34,4.6
24908,1.06,Ideal,E,IF,62.0,57.0,13344,6.49,6.54,4.04
24914,1.28,Ideal,G,IF,61.7,56.0,13360,6.95,6.99,4.3
24921,1.53,Very Good,H,IF,63.1,57.0,13369,7.34,7.25,4.6
24951,1.55,Ideal,H,IF,61.4,57.0,13421,7.42,7.47,4.57
24958,1.37,Ideal,G,IF,62.3,54.0,13439,7.11,7.15,4.43
25012,1.55,Ideal,H,IF,61.4,57.0,13544,7.47,7.42,4.57
25122,1.26,Ideal,F,IF,62.6,57.0,13671,6.94,6.84,4.31
25297,1.25,Very Good,F,IF,60.3,58.0,13953,6.96,7.03,4.22
25320,1.5,Good,G,IF,59.9,59.0,13998,7.39,7.46,4.45
25393,1.26,Very Good,F,IF,60.0,60.0,14095,7.04,7.09,4.24
25508,1.2,Ideal,F,IF,61.6,57.0,14300,6.84,6.79,4.2
25591,1.2,Ideal,F,IF,61.6,57.0,14430,6.84,6.79,4.2
25622,1.04,Ideal,D,IF,61.8,57.0,14494,6.49,6.52,4.02
25712,1.35,Ideal,G,IF,62.2,57.0,14616,7.07,7.11,4.41
25718,1.04,Ideal,D,IF,61.8,57.0,14626,6.52,6.49,4.02
25731,1.51,Good,G,IF,62.8,60.0,14654,7.18,7.24,4.53
25765,1.66,Ideal,H,IF,61.5,57.0,14724,7.59,7.62,4.68
25822,1.32,Very Good,F,IF,62.4,58.0,14842,6.97,7.01,4.36
25827,1.18,Ideal,E,IF,61.1,56.0,14847,6.78,6.91,4.18
25831,1.66,Ideal,H,IF,61.5,57.0,14859,7.62,7.59,4.68
25924,1.01,Good,D,IF,63.2,59.0,15081,6.34,6.38,4.02
25925,1.01,Good,D,IF,63.4,59.0,15081,6.26,6.39,4.01
25972,1.48,Good,G,IF,59.8,61.0,15164,7.54,7.34,4.45
25986,1.09,Ideal,E,IF,60.1,58.0,15193,6.68,6.72,4.03
25997,1.01,Very Good,D,IF,63.4,59.0,15219,6.39,6.26,4.01
26003,1.02,Premium,D,IF,61.5,60.0,15231,6.45,6.52,3.99
26077,1.02,Very Good,D,IF,62.7,57.0,15306,6.36,6.46,4.02
26105,1.02,Premium,D,IF,61.5,60.0,15370,6.52,6.45,3.99
26108,1.27,Ideal,F,IF,61.3,55.0,15377,6.98,7.02,4.29
26142,1.54,Very Good,G,IF,59.4,60.0,15444,7.55,7.61,4.5
26152,1.11,Ideal,E,IF,61.8,55.0,15464,6.65,6.69,4.12
26166,1.21,Ideal,F,IF,62.8,56.0,15497,6.75,6.84,4.27
26198,1.02,Ideal,D,IF,63.0,57.0,15575,6.39,6.35,4.01
26237,1.04,Premium,D,IF,60.6,56.0,15671,6.6,6.54,3.98
26308,1.28,Premium,E,IF,59.8,59.0,15806,7.1,7.07,4.24
26311,1.06,Ideal,D,IF,61.2,57.0,15813,6.57,6.61,4.03
26383,1.3,Ideal,E,IF,62.3,54.0,15874,6.97,7.03,4.36
26407,1.0,Good,D,IF,63.3,59.0,15928,6.33,6.37,4.02
26483,1.0,Very Good,D,IF,63.3,59.0,16073,6.37,6.33,4.02
26491,1.01,Very Good,D,IF,61.6,56.0,16087,6.43,6.46,3.97
26549,1.01,Premium,D,IF,61.6,56.0,16234,6.46,6.43,3.97
26585,1.6,Ideal,H,IF,61.5,53.0,16300,7.57,7.69,4.66
26634,1.09,Good,D,IF,58.7,61.0,16406,6.75,6.85,3.99
26660,1.0,Ideal,D,IF,60.7,57.0,16469,6.44,6.48,3.92
26748,1.6,Ideal,G,IF,59.8,54.0,16547,7.75,7.63,4.6
26883,1.25,Ideal,E,IF,61.8,55.0,16823,6.95,6.9,4.28
26965,1.07,Ideal,D,IF,60.9,54.0,17042,6.66,6.73,4.08
26998,1.02,Very Good,D,IF,61.7,59.0,17100,6.42,6.52,3.99
27129,2.04,Ideal,J,IF,61.5,58.0,17327,8.11,8.14,5.0
27131,1.58,Ideal,G,IF,62.2,57.0,17329,7.45,7.51,4.65
27139,1.21,Ideal,E,IF,61.8,56.0,17353,6.81,6.88,4.23
27196,1.14,Good,D,IF,61.7,63.0,17499,6.64,6.74,4.13
27219,1.65,Ideal,G,IF,62.4,55.0,17569,7.53,7.61,4.72
27226,1.03,Ideal,D,IF,62.0,56.0,17590,6.55,6.44,4.03
27232,1.38,Very Good,F,IF,58.2,60.0,17598,7.32,7.39,4.28
27252,1.34,Premium,E,IF,61.8,58.0,17663,7.15,7.08,4.4
27276,1.65,Ideal,G,IF,62.4,55.0,17729,7.61,7.53,4.72
27349,1.07,Very Good,D,IF,59.0,59.0,17909,6.63,6.72,3.94
27368,0.28,Ideal,F,IF,62.4,55.0,646,4.17,4.2,2.61
27400,2.08,Ideal,J,IF,61.0,55.0,17986,8.32,8.25,5.05
27450,1.51,Premium,F,IF,60.5,61.0,18102,7.5,7.4,4.45
27455,1.14,Very Good,D,IF,59.1,58.0,18112,6.83,6.9,4.06
27457,1.07,Very Good,D,IF,60.9,58.0,18114,6.57,6.67,4.03
27507,1.09,Very Good,D,IF,61.7,58.0,18231,6.55,6.65,4.07
27530,1.07,Premium,D,IF,60.9,58.0,18279,6.67,6.57,4.03
27583,2.29,Premium,J,IF,61.4,60.0,18426,8.45,8.49,5.2
27591,1.33,Ideal,F,IF,60.2,57.0,18435,7.12,7.17,4.3
27635,1.04,Very Good,D,IF,61.3,56.0,18542,6.53,6.55,4.01
27636,1.5,Very Good,F,IF,63.2,58.0,18552,7.2,7.32,4.59
27650,2.29,Premium,J,IF,61.4,60.0,18594,8.49,8.45,5.2
27677,1.28,Ideal,E,IF,60.7,57.0,18700,7.09,6.99,4.27
27701,0.26,Ideal,G,IF,61.7,54.0,648,4.15,4.18,2.57
27702,0.26,Ideal,G,IF,60.8,56.0,648,4.11,4.15,2.51
27747,1.51,Ideal,G,IF,61.7,55.0,18806,7.37,7.41,4.56
27812,0.28,Ideal,G,IF,61.3,57.0,650,4.25,4.27,2.6
27813,0.28,Ideal,G,IF,61.5,57.0,650,4.19,4.21,2.58
27814,0.28,Ideal,G,IF,62.4,55.0,650,4.17,4.2,2.61
27815,0.28,Ideal,G,IF,60.9,57.0,650,4.24,4.27,2.59
27834,0.41,Very Good,J,IF,60.8,56.0,651,4.83,4.87,2.95
27861,0.31,Ideal,I,IF,61.3,57.0,652,4.34,4.4,2.68
27862,0.31,Ideal,I,IF,62.2,54.0,652,4.36,4.39,2.72
27891,0.32,Ideal,I,IF,62.1,54.0,655,4.39,4.43,2.74
27892,0.32,Ideal,I,IF,61.6,56.0,655,4.4,4.43,2.72
27893,0.32,Ideal,I,IF,61.4,57.0,655,4.39,4.44,2.71
27894,0.32,Ideal,I,IF,61.7,55.0,655,4.4,4.42,2.72
27915,0.26,Ideal,F,IF,61.6,56.0,657,4.07,4.11,2.52
28373,0.34,Ideal,I,IF,62.2,53.5,668,4.5,4.52,2.8
28468,0.27,Ideal,G,IF,61.0,56.0,672,4.17,4.19,2.55
28502,0.29,Ideal,G,IF,60.6,57.0,673,4.28,4.31,2.6
28503,0.29,Ideal,G,IF,61.3,55.0,673,4.25,4.28,2.61
28504,0.29,Ideal,G,IF,62.0,56.0,673,4.23,4.27,2.63
28514,0.32,Premium,I,IF,60.3,58.0,673,4.41,4.45,2.67
28515,0.32,Ideal,I,IF,60.8,54.0,673,4.44,4.47,2.71
28517,0.32,Ideal,I,IF,62.2,57.0,673,4.35,4.37,2.71
28518,0.32,Very Good,I,IF,61.9,59.0,673,4.37,4.39,2.71
28531,0.33,Ideal,I,IF,62.0,54.0,675,4.46,4.48,2.77
28532,0.33,Ideal,I,IF,61.7,55.0,675,4.45,4.49,2.76
28533,0.33,Ideal,I,IF,61.1,56.0,675,4.45,4.49,2.73
28680,0.24,Ideal,F,IF,62.9,55.0,678,3.96,3.98,2.5
28681,0.24,Ideal,F,IF,61.6,57.0,678,3.97,4.0,2.45
28682,0.24,Ideal,F,IF,61.0,57.0,678,4.04,4.07,2.47
28683,0.24,Ideal,F,IF,60.7,57.0,678,3.99,4.04,2.43
28872,0.32,Premium,J,IF,61.2,59.0,684,4.44,4.41,2.71
28873,0.32,Ideal,J,IF,62.2,55.0,684,4.44,4.4,2.75
28874,0.32,Ideal,J,IF,62.2,56.0,684,4.41,4.37,2.73
29073,0.28,Very Good,E,IF,59.6,55.0,688,4.24,4.31,2.55
29129,0.3,Very Good,H,IF,62.3,56.0,691,4.3,4.33,2.68
29195,0.33,Premium,I,IF,62.1,58.0,694,4.39,4.43,2.74
29196,0.33,Ideal,I,IF,62.1,55.0,694,4.41,4.44,2.75
29197,0.33,Very Good,I,IF,59.0,61.0,694,4.49,4.56,2.67
29199,0.33,Ideal,I,IF,61.6,55.0,694,4.46,4.47,2.75
29200,0.33,Ideal,I,IF,61.4,56.0,694,4.41,4.45,2.72
29201,0.33,Very Good,I,IF,62.0,58.0,694,4.44,4.46,2.76
29204,0.33,Ideal,I,IF,61.8,55.0,694,4.46,4.47,2.76
29205,0.33,Ideal,I,IF,62.2,56.0,694,4.42,4.45,2.76
29218,0.34,Ideal,I,IF,61.6,54.0,695,4.5,4.53,2.78
29219,0.34,Ideal,I,IF,61.9,55.0,695,4.5,4.52,2.79
29220,0.34,Ideal,I,IF,61.3,55.0,695,4.52,4.55,2.78
29221,0.34,Ideal,I,IF,62.1,54.0,695,4.49,4.53,2.8
29975,0.35,Ideal,I,IF,61.8,55.0,715,4.55,4.57,2.82
29976,0.35,Ideal,I,IF,61.1,56.0,715,4.56,4.6,2.8
29977,0.35,Ideal,I,IF,61.5,55.0,715,4.53,4.57,2.8
30041,0.33,Ideal,I,IF,61.5,56.0,719,4.43,4.47,2.74
30176,0.29,Ideal,G,IF,61.3,56.0,721,4.26,4.29,2.62
30524,0.26,Ideal,F,IF,62.0,56.0,733,4.07,4.1,2.53
30639,0.36,Ideal,I,IF,61.8,55.0,735,4.58,4.61,2.84
30640,0.36,Ideal,I,IF,62.0,55.0,735,4.59,4.61,2.85
30641,0.36,Ideal,I,IF,61.9,54.0,735,4.57,4.6,2.84
30679,0.35,Ideal,I,IF,62.5,55.0,737,4.52,4.54,2.83
30732,0.25,Ideal,F,IF,62.3,54.0,739,4.06,4.09,2.54
30736,0.31,Premium,H,IF,60.8,59.0,739,4.36,4.39,2.66
30754,0.25,Premium,F,IF,61.1,58.0,740,4.1,4.08,2.5
30803,0.3,Good,F,IF,60.0,63.0,742,4.3,4.36,2.6
30806,0.3,Very Good,G,IF,60.5,58.0,743,4.35,4.38,2.64
30942,0.24,Very Good,H,IF,61.3,56.0,449,4.04,4.06,2.48
31006,0.29,Ideal,F,IF,61.9,56.0,748,4.27,4.3,2.65
31118,0.37,Ideal,I,IF,60.7,56.0,754,4.64,4.68,2.83
31119,0.37,Ideal,I,IF,61.4,55.0,754,4.65,4.67,2.86
31254,0.4,Ideal,J,IF,62.5,56.0,758,4.7,4.74,2.95
31320,0.36,Premium,I,IF,59.9,59.0,758,4.58,4.63,2.76
31342,0.27,Very Good,E,IF,59.7,56.0,760,4.26,4.28,2.55
31354,0.27,Ideal,F,IF,61.3,57.0,760,4.16,4.2,2.56
31355,0.27,Ideal,F,IF,61.8,55.0,760,4.14,4.21,2.57
31356,0.27,Ideal,F,IF,61.4,57.0,760,4.17,4.19,2.57
31357,0.27,Ideal,F,IF,63.0,55.0,760,4.13,4.16,2.61
31374,0.31,Ideal,H,IF,60.8,57.0,761,4.38,4.4,2.67
31378,0.31,Premium,H,IF,60.4,58.0,761,4.41,4.43,2.67
31393,0.32,Premium,H,IF,61.8,58.0,763,4.35,4.39,2.7
31424,0.3,Ideal,H,IF,61.2,55.0,764,4.36,4.37,2.67
31425,0.3,Ideal,H,IF,61.5,58.0,764,4.28,4.3,2.64
31426,0.3,Ideal,H,IF,60.8,56.0,764,4.36,4.39,2.66
31427,0.3,Ideal,H,IF,62.2,54.0,764,4.34,4.37,2.71
31428,0.3,Ideal,H,IF,61.8,57.0,764,4.31,4.36,2.68
31429,0.3,Ideal,H,IF,62.5,56.0,764,4.31,4.33,2.7
31430,0.3,Ideal,H,IF,62.3,54.0,764,4.34,4.36,2.71
31431,0.3,Ideal,H,IF,61.5,56.0,764,4.32,4.33,2.66
31432,0.3,Ideal,H,IF,61.2,56.0,764,4.36,4.37,2.67
31433,0.3,Ideal,H,IF,61.6,57.0,764,4.31,4.33,2.66
31434,0.3,Ideal,H,IF,62.1,57.0,764,4.29,4.31,2.67
31435,0.3,Ideal,H,IF,62.0,57.0,764,4.26,4.29,2.65
31436,0.3,Ideal,H,IF,62.0,55.0,764,4.33,4.35,2.69
31437,0.3,Ideal,H,IF,61.3,58.0,764,4.3,4.31,2.64
31553,0.31,Ideal,F,IF,59.7,60.0,766,4.4,4.44,2.64
31610,0.23,Very Good,H,IF,63.9,55.0,369,3.89,3.9,2.49
31665,0.26,Ideal,F,IF,60.9,55.0,768,4.15,4.23,2.55
31735,0.31,Ideal,H,IF,62.0,56.0,772,4.36,4.39,2.71
31736,0.31,Ideal,H,IF,61.4,57.0,772,4.36,4.39,2.68
31805,0.3,Very Good,G,IF,61.4,58.0,774,4.27,4.33,2.64
32005,0.41,Ideal,J,IF,62.1,54.0,777,4.78,4.81,2.98
32022,0.31,Very Good,H,IF,61.3,55.0,778,4.37,4.4,2.69
32028,0.35,Ideal,I,IF,62.7,55.0,778,4.51,4.55,2.84
32054,0.3,Good,F,IF,64.3,53.0,780,4.22,4.27,2.73
32115,0.32,Ideal,H,IF,61.9,54.2,783,4.38,4.42,2.72
32137,0.31,Ideal,G,IF,62.8,56.0,786,4.34,4.39,2.74
32149,0.28,Very Good,F,IF,59.8,56.0,787,4.27,4.29,2.56
32163,0.28,Ideal,F,IF,62.6,53.0,787,4.18,4.19,2.62
32164,0.28,Ideal,F,IF,61.4,57.0,787,4.22,4.25,2.6
32165,0.28,Ideal,F,IF,61.9,56.0,787,4.18,4.21,2.59
32171,0.33,Very Good,H,IF,62.9,58.0,787,4.38,4.43,2.77
32172,0.33,Very Good,H,IF,61.7,59.0,787,4.43,4.45,2.74
32242,0.31,Ideal,H,IF,61.3,56.0,789,4.37,4.41,2.69
32243,0.31,Ideal,H,IF,61.4,56.0,789,4.39,4.41,2.7
32244,0.31,Ideal,H,IF,61.3,56.0,789,4.39,4.42,2.7
32245,0.31,Ideal,H,IF,61.8,57.0,789,4.32,4.35,2.68
32246,0.31,Ideal,H,IF,62.0,54.0,789,4.38,4.4,2.72
32247,0.31,Ideal,H,IF,62.3,55.0,789,4.32,4.35,2.7
32248,0.31,Ideal,H,IF,61.2,56.0,789,4.36,4.4,2.68
32249,0.31,Ideal,H,IF,62.2,54.0,789,4.38,4.4,2.73
32250,0.31,Ideal,H,IF,62.2,54.0,789,4.38,4.4,2.73
32258,0.3,Ideal,H,IF,60.8,56.0,789,4.35,4.37,2.65
32264,0.3,Ideal,H,IF,61.5,56.0,789,4.31,4.34,2.66
32320,0.3,Premium,H,IF,60.4,60.0,789,4.3,4.34,2.61
32334,0.3,Very Good,H,IF,62.9,58.0,789,4.26,4.29,2.69
32342,0.3,Ideal,H,IF,61.8,55.0,789,4.3,4.31,2.66
32345,0.3,Ideal,H,IF,62.1,55.0,789,4.27,4.3,2.66
32465,0.3,Ideal,G,IF,62.6,56.0,794,4.29,4.32,2.69
32477,0.33,Very Good,H,IF,61.7,55.0,795,4.45,4.48,2.75
32493,0.32,Ideal,H,IF,61.6,56.0,796,4.4,4.43,2.72
32494,0.27,Ideal,F,IF,61.8,55.0,796,4.16,4.19,2.58
32495,0.3,Good,F,IF,58.8,61.0,796,4.35,4.39,2.57
32552,0.3,Ideal,G,IF,62.4,55.0,799,4.3,4.32,2.69
32584,0.31,Ideal,G,IF,62.0,54.0,801,4.35,4.39,2.71
32831,0.33,Ideal,H,IF,61.8,55.2,806,4.44,4.47,2.76
32864,0.35,Ideal,I,IF,61.8,53.0,808,4.55,4.57,2.81
32898,0.3,Very Good,I,IF,63.3,57.0,810,4.3,4.23,2.7
32899,0.3,Premium,I,IF,60.5,59.0,810,4.34,4.32,2.62
32900,0.3,Very Good,I,IF,63.3,56.0,810,4.26,4.21,2.68
33006,0.3,Ideal,G,IF,61.8,55.0,813,4.33,4.35,2.68
33010,0.31,Good,E,IF,64.2,60.0,813,4.22,4.28,2.73
33063,0.32,Ideal,H,IF,61.2,56.0,814,4.4,4.42,2.7
33064,0.32,Ideal,H,IF,61.8,55.0,814,4.42,4.45,2.74
33065,0.32,Ideal,H,IF,61.1,56.0,814,4.45,4.48,2.73
33066,0.32,Ideal,H,IF,61.2,57.0,814,4.41,4.44,2.71
33067,0.32,Ideal,H,IF,61.6,55.0,814,4.41,4.42,2.72
33068,0.32,Ideal,H,IF,62.6,54.0,814,4.38,4.4,2.75
33069,0.32,Ideal,H,IF,62.0,55.0,814,4.39,4.42,2.73
33070,0.32,Ideal,H,IF,61.6,54.0,814,4.41,4.49,2.74
33071,0.32,Ideal,H,IF,61.4,55.0,814,4.42,4.47,2.73
33072,0.32,Ideal,H,IF,62.2,54.0,814,4.37,4.41,2.73
33073,0.32,Ideal,H,IF,62.1,54.0,814,4.41,4.45,2.75
33087,0.29,Very Good,F,IF,59.9,56.0,815,4.35,4.37,2.61
33099,0.29,Ideal,E,IF,61.9,57.0,815,4.25,4.29,2.64
33119,0.31,Ideal,H,IF,60.0,57.0,816,4.39,4.41,2.64
33131,0.31,Ideal,H,IF,61.8,56.0,816,4.36,4.38,2.7
33144,0.31,Premium,H,IF,61.0,58.0,816,4.34,4.38,2.66
33158,0.31,Ideal,H,IF,62.1,54.0,816,4.33,4.37,2.7
33159,0.31,Premium,H,IF,61.7,58.0,816,4.33,4.36,2.68
33208,0.33,Ideal,H,IF,61.6,55.0,820,4.44,4.47,2.74
33210,0.27,Premium,F,IF,61.7,57.0,820,4.21,4.12,2.57
33215,0.31,Ideal,F,IF,62.3,57.0,821,4.25,4.29,2.66
33257,0.28,Ideal,F,IF,62.0,53.0,825,4.23,4.29,2.64
33268,0.3,Ideal,G,IF,62.6,54.0,826,4.3,4.33,2.7
33304,0.38,Very Good,J,IF,60.9,61.0,827,4.66,4.73,2.86
33359,0.41,Good,J,IF,63.5,54.0,827,4.7,4.75,3.0
33382,0.41,Good,J,IF,63.6,54.0,827,4.72,4.75,3.01
33402,0.28,Ideal,F,IF,62.4,55.0,828,4.2,4.17,2.61
33508,0.4,Very Good,J,IF,62.7,60.0,828,4.64,4.7,2.93
33509,0.4,Very Good,J,IF,62.2,61.0,828,4.68,4.71,2.92
33510,0.4,Ideal,J,IF,62.4,56.0,828,4.71,4.74,2.95
33512,0.4,Ideal,J,IF,62.6,56.0,828,4.71,4.75,2.96
33552,0.3,Ideal,G,IF,62.3,52.8,830,4.29,4.33,2.69
33553,0.3,Ideal,G,IF,62.0,54.4,830,4.3,4.32,2.67
33570,0.3,Very Good,G,IF,61.4,59.0,831,4.27,4.3,2.63
33585,0.35,Very Good,G,IF,62.1,56.0,833,4.54,4.57,2.82
33666,0.3,Very Good,G,IF,58.4,62.0,835,4.4,4.43,2.58
33681,0.31,Ideal,I,IF,62.2,54.0,837,4.39,4.36,2.72
33682,0.31,Ideal,I,IF,61.3,57.0,837,4.4,4.34,2.68
33688,0.33,Very Good,H,IF,61.2,56.0,838,4.46,4.5,2.74
33713,0.33,Ideal,H,IF,61.6,55.0,838,4.48,4.51,2.77
33714,0.33,Ideal,H,IF,61.1,56.0,838,4.47,4.5,2.74
33715,0.33,Ideal,H,IF,61.4,54.0,838,4.47,4.49,2.75
33716,0.33,Ideal,H,IF,62.1,54.0,838,4.44,4.48,2.77
33717,0.33,Ideal,H,IF,61.8,54.0,838,4.47,4.49,2.77
33718,0.33,Ideal,H,IF,62.0,55.0,838,4.46,4.48,2.77
33734,0.31,Ideal,G,IF,61.6,56.0,839,4.37,4.4,2.7
33757,0.31,Ideal,G,IF,61.5,57.0,840,4.35,4.37,2.68
33785,0.32,Premium,H,IF,61.2,58.0,842,4.37,4.39,2.68
33788,0.32,Ideal,H,IF,60.9,56.0,842,4.41,4.42,2.69
33841,0.34,Ideal,H,IF,61.6,55.0,844,4.51,4.55,2.78
33842,0.3,Ideal,G,IF,62.2,55.0,844,4.3,4.32,2.68
33843,0.3,Ideal,G,IF,61.0,56.0,844,4.34,4.37,2.65
33844,0.3,Ideal,G,IF,61.8,57.0,844,4.28,4.31,2.65
33975,0.3,Premium,F,IF,61.6,58.0,846,4.3,4.34,2.66
34034,0.3,Very Good,G,IF,62.3,55.0,850,4.31,4.33,2.69
34041,0.3,Ideal,G,IF,61.7,53.0,850,4.33,4.36,2.68
34042,0.3,Ideal,G,IF,62.2,56.0,850,4.26,4.29,2.66
34095,0.36,Ideal,I,IF,60.8,57.0,852,4.6,4.64,2.81
34110,0.33,Premium,G,IF,59.4,59.0,853,4.49,4.54,2.68
34122,0.31,Ideal,G,IF,61.6,54.0,853,4.36,4.4,2.7
34123,0.31,Ideal,G,IF,60.5,61.0,853,4.39,4.4,2.66
34284,0.26,Ideal,H,IF,61.1,57.0,468,4.12,4.16,2.53
34320,0.35,Ideal,H,IF,61.7,54.0,859,4.53,4.55,2.8
34328,0.33,Ideal,G,IF,62.7,56.0,861,4.39,4.44,2.77
34349,0.33,Ideal,I,IF,61.2,56.0,862,4.46,4.49,2.74
34357,0.3,Very Good,G,IF,62.6,56.0,863,4.27,4.29,2.68
34399,0.34,Ideal,H,IF,61.6,54.0,863,4.49,4.53,2.78
34400,0.34,Ideal,H,IF,61.9,53.0,863,4.5,4.52,2.79
34401,0.34,Ideal,H,IF,61.7,56.0,863,4.5,4.51,2.78
34402,0.34,Ideal,H,IF,62.0,53.0,863,4.49,4.51,2.79
34403,0.34,Ideal,H,IF,61.8,54.0,863,4.51,4.55,2.8
34404,0.34,Ideal,H,IF,61.7,55.0,863,4.5,4.54,2.79
34405,0.3,Ideal,G,IF,61.5,55.0,863,4.33,4.35,2.67
34406,0.3,Ideal,G,IF,61.6,53.0,863,4.32,4.35,2.67
34407,0.3,Ideal,G,IF,61.3,55.0,863,4.33,4.35,2.66
34408,0.3,Ideal,G,IF,62.1,55.0,863,4.32,4.35,2.69
34409,0.3,Ideal,G,IF,62.4,55.0,863,4.32,4.34,2.7
34410,0.3,Ideal,G,IF,62.3,56.0,863,4.31,4.32,2.69
34411,0.3,Ideal,G,IF,61.9,57.0,863,4.27,4.29,2.65
34412,0.3,Ideal,G,IF,62.4,54.0,863,4.31,4.34,2.7
34413,0.3,Ideal,G,IF,60.7,57.0,863,4.34,4.39,2.65
34414,0.3,Ideal,G,IF,62.0,55.0,863,4.33,4.35,2.69
34415,0.3,Ideal,G,IF,61.2,57.0,863,4.35,4.38,2.67
34416,0.3,Ideal,G,IF,62.0,54.0,863,4.33,4.35,2.69
34417,0.3,Ideal,G,IF,62.1,55.0,863,4.32,4.34,2.69
34418,0.3,Ideal,G,IF,60.9,58.0,863,4.32,4.35,2.64
34419,0.3,Ideal,G,IF,61.6,56.0,863,4.34,4.36,2.68
34420,0.3,Ideal,G,IF,61.8,55.0,863,4.32,4.36,2.68
34421,0.3,Ideal,G,IF,62.3,54.0,863,4.32,4.35,2.7
34422,0.3,Ideal,G,IF,62.1,55.0,863,4.32,4.35,2.69
34423,0.3,Ideal,G,IF,60.9,56.0,863,4.34,4.36,2.65
34424,0.3,Ideal,G,IF,61.5,56.0,863,4.32,4.36,2.67
34425,0.3,Ideal,G,IF,62.1,54.0,863,4.3,4.33,2.68
34426,0.3,Ideal,G,IF,62.3,56.0,863,4.29,4.32,2.68
34427,0.3,Ideal,G,IF,61.4,57.0,863,4.3,4.33,2.65
34428,0.3,Ideal,G,IF,62.2,55.0,863,4.31,4.34,2.69
34429,0.3,Ideal,G,IF,60.9,57.0,863,4.35,4.39,2.66
34430,0.3,Ideal,G,IF,62.1,53.0,863,4.3,4.33,2.68
34431,0.3,Ideal,G,IF,62.5,54.0,863,4.31,4.33,2.7
34432,0.3,Ideal,G,IF,62.3,55.0,863,4.3,4.33,2.69
34433,0.3,Ideal,G,IF,61.9,55.0,863,4.33,4.36,2.69
34434,0.3,Ideal,G,IF,61.0,57.0,863,4.31,4.34,2.64
34435,0.3,Ideal,G,IF,62.1,57.0,863,4.27,4.29,2.66
34450,0.32,Premium,I,IF,60.3,58.0,864,4.45,4.41,2.67
34451,0.32,Ideal,I,IF,60.8,54.0,864,4.47,4.44,2.71
34452,0.32,Premium,I,IF,61.9,59.0,864,4.39,4.37,2.71
34453,0.32,Ideal,I,IF,62.2,57.0,864,4.37,4.35,2.71
34455,0.36,Very Good,H,IF,62.3,56.0,865,4.55,4.58,2.85
34456,0.36,Very Good,H,IF,61.6,56.0,865,4.57,4.62,2.83
34457,0.36,Very Good,H,IF,60.8,57.0,865,4.58,4.6,2.79
34467,0.39,Ideal,I,IF,60.8,56.0,865,4.73,4.75,2.88
34508,0.33,Premium,H,IF,62.0,58.0,868,4.39,4.42,2.73
34512,0.33,Very Good,H,IF,60.3,59.0,868,4.47,4.49,2.7
34516,0.33,Ideal,H,IF,61.9,55.0,868,4.42,4.44,2.74
34521,0.33,Premium,H,IF,61.8,60.0,868,4.4,4.44,2.73
34537,0.33,Ideal,H,IF,62.1,55.0,868,4.41,4.44,2.75
34542,0.35,Ideal,H,IF,61.5,57.0,868,4.55,4.58,2.8
34569,0.31,Ideal,G,IF,61.0,55.0,871,4.39,4.42,2.69
34570,0.31,Ideal,G,IF,62.1,56.0,871,4.31,4.34,2.69
34571,0.31,Ideal,G,IF,62.5,56.0,871,4.33,4.37,2.71
34572,0.31,Ideal,G,IF,62.3,56.0,871,4.34,4.36,2.71
34573,0.31,Ideal,G,IF,61.9,56.0,871,4.33,4.35,2.68
34574,0.31,Ideal,G,IF,61.5,54.0,871,4.4,4.41,2.71
34575,0.31,Ideal,G,IF,61.1,57.0,871,4.38,4.42,2.68
34576,0.31,Ideal,G,IF,61.7,55.0,871,4.37,4.39,2.7
34577,0.31,Ideal,G,IF,60.7,58.0,871,4.37,4.41,2.67
34583,0.32,Very Good,G,IF,62.9,55.0,872,4.37,4.4,2.75
34686,0.3,Ideal,F,IF,59.4,60.0,873,4.37,4.39,2.6
34687,0.3,Ideal,F,IF,61.8,55.0,873,4.31,4.33,2.67
34688,0.3,Ideal,F,IF,61.3,55.0,873,4.32,4.36,2.66
34689,0.3,Ideal,F,IF,60.5,60.0,873,4.34,4.36,2.63
34690,0.3,Ideal,F,IF,60.4,60.0,873,4.32,4.35,2.62
34691,0.3,Ideal,F,IF,61.3,56.0,873,4.3,4.34,2.65
34692,0.3,Ideal,F,IF,59.8,58.0,873,4.37,4.46,2.64
34693,0.3,Ideal,F,IF,60.0,59.0,873,4.37,4.39,2.63
34694,0.3,Ideal,F,IF,61.7,56.0,873,4.31,4.35,2.67
